mode,trade_id,direction,entry,exit,lot,pnl,pnl_pips,opened_at,closed_at,reason
VERY_AGGRESSIVE,f152c526-0,sell,2884.86,2885.34,0.01,-0.48,-4.8,2025-03-11 01:15:00,2026-04-15 03:30:04,sl
VERY_AGGRESSIVE,a665c2f6-c,sell,2885.82,2885.34,0.01,0.48,4.8,2025-03-11 01:30:00,2026-04-15 03:30:04,sl
VERY_AGGRESSIVE,86918a4d-0,sell,2884.46,2885.34,0.01,-0.88,-8.8,2025-03-11 01:45:00,2026-04-15 03:30:04,sl
VERY_AGGRESSIVE,baf5939e-f,sell,2884.79,2885.34,0.01,-0.55,-5.5,2025-03-11 02:00:00,2026-04-15 03:30:04,sl
VERY_AGGRESSIVE,b941993c-0,buy,3261.72,3276.64,0.01,14.92,149.2,2025-05-20 16:45:00,2026-04-15 04:00:40,sl
VERY_AGGRESSIVE,84b358b3-8,buy,3279.14,3278.01,0.01,-1.13,-11.3,2025-05-20 17:00:00,2026-04-15 04:00:43,sl
VERY_AGGRESSIVE,3d47cd73-b,buy,3280.51,3279.86,0.01,-0.65,-6.5,2025-05-20 17:15:00,2026-04-15 04:00:44,sl
VERY_AGGRESSIVE,5becd982-0,sell,3372.63,3365.7,0.01,6.93,69.3,2025-06-23 02:45:00,2026-04-15 04:32:20,tp2
VERY_AGGRESSIVE,fd33e54e-6,sell,3368.14,3364.79,0.01,3.35,33.5,2025-06-23 03:00:00,2026-04-15 04:32:22,sl
VERY_AGGRESSIVE,9c8ebd4d-9,sell,3362.59,3367.05,0.01,-4.46,-44.6,2025-06-23 03:15:00,2026-04-15 04:32:32,sl
VERY_AGGRESSIVE,0010e1a0-c,sell,3364.85,3367.69,0.01,-2.84,-28.4,2025-06-23 03:30:00,2026-04-15 04:32:32,sl
VERY_AGGRESSIVE,06507317-e,sell,3365.46,3355.51,0.01,9.95,99.5,2025-06-23 03:45:00,2026-04-15 04:32:40,sl
VERY_AGGRESSIVE,e1e74fbd-8,sell,3355.07,3363.34,0.01,-8.27,-82.7,2025-06-23 04:45:00,2026-04-15 04:32:47,sl
